id,name_en,name_hi,name_mr,aliases,category,lat,lng,area,desc_en,desc_hi,desc_mr,timings,phone,open24x7,accessible,verified_by,verified_on,verified_source
ramkund,Ramkund,रामकुंड,रामकुंड,ram kund|raamkund|ram kunda|ramkund ghat|godavari ghat,ghat,20.007867,73.791201,Panchavati,The holiest bathing tank on the Godavari in Panchavati and the main Kumbh snan spot in Nashik.,पंचवटी में गोदावरी नदी का सबसे पवित्र स्नान कुंड और नासिक में कुंभ स्नान का मुख्य स्थान।,पंचवटीतील गोदावरी नदीवरील सर्वात पवित्र स्नानकुंड आणि नाशिकमधील कुंभ स्नानाचे मुख्य ठिकाण.,,,true,,claude-osm,2026-09-16,https://www.openstreetmap.org/relation/20140840 ; https://www.openstreetmap.org/node/4115262090
kushavarta-kund,Kushavarta Kund,कुशावर्त कुंड,कुशावर्त कुंड,kushavart|kushawart|kushavarta tirth|kusavarta|kushavart kund,ghat,19.932741,73.527614,Trimbakeshwar,Sacred tank in Trimbak town where pilgrims take the holy dip during Kumbh.,त्र्यंबक शहर का पवित्र कुंड जहाँ कुंभ में श्रद्धालु पवित्र स्नान करते हैं।,त्र्यंबक शहरातील पवित्र कुंड जिथे कुंभात भाविक पवित्र स्नान करतात.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533200243
kapila-godavari-sangam,Kapila Godavari Sangam,कपिला गोदावरी संगम,कपिला गोदावरी संगम,kapila sangam|kapila godavari|kapila river|tapovan sangam,ghat,19.999677,73.815492,Tapovan,Meeting point of the Kapila and Godavari rivers at Tapovan.,तपोवन में कपिला और गोदावरी नदियों का संगम स्थान।,तपोवन येथे कपिला आणि गोदावरी नद्यांचा संगम.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/2532108497
gautam-talav,Gautam Talav,गौतम तालाब,गौतम तलाव,gautam tank|gautam talao|gautam lake|gautam talaav,ghat,19.930963,73.530191,Trimbakeshwar,Old sacred water tank near the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास पुराना पवित्र तालाब।,त्र्यंबकेश्वर मंदिराजवळील जुने पवित्र तलाव.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/198890515
kalaram-mandir,Kalaram Mandir,कालाराम मंदिर,काळाराम मंदिर,kala ram|kalaram temple|kaalaram|kala ram mandir|kalaram,temple,20.00695,73.795219,Panchavati,Historic black-stone temple of Lord Ram in Panchavati.,पंचवटी में भगवान राम का ऐतिहासिक काले पत्थर का मंदिर।,पंचवटीतील प्रभू रामाचे काळ्या दगडातील ऐतिहासिक मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/361247890
kapaleshwar-mandir,Kapaleshwar Mandir,कपालेश्वर मंदिर,कपालेश्वर मंदिर,kapaleshwar|kapileshwar|kapaleshwar temple|kapaleshwar mahadev,temple,20.008283,73.79316,Panchavati,Ancient Shiva temple on the steps above Ramkund.,रामकुंड के ऊपर सीढ़ियों पर स्थित प्राचीन शिव मंदिर।,रामकुंडाजवळ पायऱ्यांवर असलेले प्राचीन शिवमंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1461787680
sita-gufa,Sita Gufa,सीता गुफा,सीता गुंफा,sita cave|seeta gufa|sita gumpha|sita gupha,temple,20.007723,73.796161,Panchavati,"Small cave shrine where Sita is believed to have stayed, near Kalaram Mandir.",कालाराम मंदिर के पास छोटी गुफा जहाँ माना जाता है कि सीता जी रहीं।,काळाराम मंदिराजवळील छोटी गुंफा जिथे सीता माई राहिल्या असे मानतात.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/4115267791
tapovan,Tapovan,तपोवन,तपोवन,tapoban|tapowan|tapovan nashik|tapovan garden,temple,20.000743,73.812857,Tapovan,Sacred grove on the Godavari linked to the Ramayana and to Kumbh sadhu camps.,"गोदावरी किनारे रामायण से जुड़ा पवित्र वन क्षेत्र, जहाँ कुंभ में साधु रहते हैं।","गोदावरी काठावरील रामायणाशी जोडलेले पवित्र वन, जिथे कुंभात साधू राहतात.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/390062470
sundarnarayan-mandir,Sundarnarayan Mandir,सुंदरनारायण मंदिर,सुंदरनारायण मंदिर,sundar narayan|sundarnarayan temple|sunder narayan|sundarnarayan,temple,20.008114,73.789941,Panchavati,18th-century Vishnu temple at the Ahilyabai Holkar bridge near Ramkund.,रामकुंड के पास अहिल्याबाई होलकर पुल के किनारे 18वीं सदी का विष्णु मंदिर।,रामकुंडाजवळ अहिल्याबाई होळकर पुलाशेजारील अठराव्या शतकातील विष्णू मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13474093806
muktidham,Muktidham,मुक्तिधाम,मुक्तिधाम,mukti dham|muktidham temple|muktidham mandir|mukthi dham,temple,19.951,73.836,Nashik Road,White marble temple complex near Nashik Road with replicas of the twelve Jyotirlingas.,नासिक रोड के पास सफेद संगमरमर का मंदिर परिसर जिसमें बारह ज्योतिर्लिंगों की प्रतिकृतियाँ हैं।,"नाशिक रोडजवळील पांढऱ्या संगमरवरी मंदिर परिसर, ज्यात बारा ज्योतिर्लिंगांच्या प्रतिकृती आहेत.",,,,,claude-osm,2026-09-16,https://en.wikipedia.org/wiki/Muktidham (coords only ~100 m precision; not in OSM)
someshwar-mandir,Someshwar Mandir,सोमेश्वर मंदिर,सोमेश्वर मंदिर,someshwar|someshwar temple|someshvar|somnath nashik,temple,20.023114,73.727855,Gangapur Road,"Shiva temple on the Godavari at Gangapur Road, near the Someshwar waterfall.","गंगापुर रोड पर गोदावरी किनारे शिव मंदिर, सोमेश्वर जलप्रपात के पास।","गंगापूर रोडवर गोदावरी काठावरील शिवमंदिर, सोमेश्वर धबधब्याजवळ.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/12270798789
pandavleni-caves,Pandavleni Caves,पांडवलेणी गुफाएँ,पांडवलेणी लेणी,pandav leni|pandavleni|pandu lena|trirashmi caves|pandav caves,temple,19.940551,73.749626,Pathardi,Ancient Buddhist rock-cut caves on a hill near the Mumbai-Agra highway.,मुंबई-आगरा हाईवे के पास पहाड़ी पर प्राचीन बौद्ध गुफाएँ।,मुंबई-आग्रा महामार्गाजवळ डोंगरावरील प्राचीन बौद्ध लेणी.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466071634
saptashrungi-devi-mandir-nashik,Saptashrungi Devi Mandir (Govind Nagar),सप्तश्रृंगी देवी मंदिर (गोविंद नगर),सप्तशृंगी देवी मंदिर (गोविंद नगर),saptashrungi|saptashrungi temple|saptashringi|saptashrungi udyan,temple,19.981937,73.790645,City,Devi temple beside Saptashrungi garden in Govind Nagar (not the Vani hill temple).,गोविंद नगर में सप्तश्रृंगी उद्यान के पास देवी मंदिर (वणी वाला मंदिर नहीं)।,गोविंद नगरमधील सप्तशृंगी उद्यानाशेजारील देवी मंदिर (वणीचे मंदिर नव्हे).,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1337096184
bhadrakali-mandir,Bhadrakali Devi Mandir,भद्रकाली देवी मंदिर,भद्रकाली देवी मंदिर,bhadrakali|bhadrakali temple|bhadra kali|bhadrakali mandir,temple,20.001853,73.791684,Old Nashik,Old goddess temple in the Bhadrakali market area of old Nashik.,पुराने नासिक के भद्रकाली बाजार में देवी का पुराना मंदिर।,जुन्या नाशिकमधील भद्रकाली बाजारातील देवीचे जुने मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466136048
kalika-mata-mandir,Kalika Mata Mandir,कालिका माता मंदिर,कालिका माता मंदिर,kalika mandir|kalika temple|kalika devi|kaalika mata,temple,19.991307,73.782248,City,"Popular goddess temple on Old Agra Road, crowded during Navratri.","पुराने आगरा रोड पर लोकप्रिय देवी मंदिर, नवरात्रि में बहुत भीड़ रहती है।","जुन्या आग्रा रोडवरील लोकप्रिय देवी मंदिर, नवरात्रीत खूप गर्दी असते.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13447656739
iskcon-nashik,ISKCON Sri Sri Radha Madan Gopal Mandir,इस्कॉन श्री श्री राधा मदन गोपाल मंदिर,इस्कॉन श्री श्री राधा मदन गोपाल मंदिर,iskcon|iskon|iskcon temple|radha madan gopal|hare krishna temple,temple,19.987137,73.796923,Dwarka,ISKCON Krishna temple in Nashik city.,नासिक शहर में इस्कॉन का कृष्ण मंदिर।,नाशिक शहरातील इस्कॉनचे कृष्ण मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/14051285596
ganga-godavari-mandir,Ganga Godavari Mandir,गंगा गोदावरी मंदिर,गंगा गोदावरी मंदिर,ganga godavari|godavari mandir|ganga mata mandir|godavari temple,temple,20.008201,73.792366,Panchavati,"Temple of Goddess Godavari at Ramkund, opened specially in the Kumbh year.","रामकुंड पर गोदावरी माता का मंदिर, जो कुंभ वर्ष में विशेष रूप से खुलता है।","रामकुंडावरील गोदावरी मातेचे मंदिर, जे कुंभ वर्षात विशेष उघडते.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471433405
balaji-mandir-ramkund,Shree Vyankatesh Balaji Mandir,श्री व्यंकटेश बालाजी मंदिर,श्री व्यंकटेश बालाजी मंदिर,balaji mandir|venkatesh balaji|vyankatesh|balaji temple,temple,20.008678,73.79225,Panchavati,Balaji temple on the Godavari bank near Ramkund.,रामकुंड के पास गोदावरी किनारे बालाजी मंदिर।,रामकुंडाजवळ गोदावरी काठावरील बालाजी मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471433402
laxmi-narayan-mandir-tapovan,"Shri Laxmi Narayan Mandir, Tapovan","श्री लक्ष्मी नारायण मंदिर, तपोवन","श्री लक्ष्मी नारायण मंदिर, तपोवन",laxmi narayan|lakshmi narayan temple|tapovan temple|laxminarayan,temple,20.001554,73.811136,Tapovan,Laxmi Narayan temple inside the Tapovan area.,तपोवन क्षेत्र में लक्ष्मी नारायण मंदिर।,तपोवन परिसरातील लक्ष्मी नारायण मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/390062476
trimbakeshwar-temple,Trimbakeshwar Temple,त्र्यंबकेश्वर मंदिर,त्र्यंबकेश्वर मंदिर,trimbak|tryambakeshwar|trimbakeshwar|tryambak|trimbakeshwar jyotirlinga,temple,19.93213,73.530745,Trimbakeshwar,"One of the twelve Jyotirlingas of Lord Shiva, near the source of the Godavari.","भगवान शिव के बारह ज्योतिर्लिंगों में से एक, गोदावरी के उद्गम के पास।","भगवान शिवाच्या बारा ज्योतिर्लिंगांपैकी एक, गोदावरीच्या उगमाजवळ.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/431774966
gangadwar,Gangadwar,गंगाद्वार,गंगाद्वार,ganga dwar|gangadwar trimbak|gangadvar|godavari udgam,temple,19.928092,73.516559,Trimbakeshwar,Shrine on Brahmagiri hill where the Godavari is said to emerge.,ब्रह्मगिरि पहाड़ी पर स्थान जहाँ से गोदावरी निकलती मानी जाती है।,ब्रह्मगिरी डोंगरावरील स्थान जिथून गोदावरी उगम पावते असे मानतात.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/12876742451
